Secrets Portal - Cost Analysis Spreadsheet

SECTION 1: EC2 INTERNAL (ROUTE53 ONLY)
Component,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
Lambda Requests,1M requests,$0.20,1,$0.20,$2.40,Function invocations
Lambda Duration,10K GB-seconds,$0.0000166667,10000,$0.17,$2.04,Compute time
DynamoDB,200 items on-demand,$2.00,1,$2.00,$24.00,Metadata + audit logs
Secrets Manager,150 secrets,$0.40,150,$60.00,$720.00,Secret storage
Cognito,20 users,$0.00,20,$0.00,$0.00,Free tier
CloudWatch Logs,5 GB ingestion,$0.50,5,$2.50,$30.00,Lambda logs
CloudWatch Metrics,2 custom metrics,$0.30,2,$0.60,$7.20,Monitoring
SNS,1000 emails/month,$0.00,1,$0.02,$0.24,Notifications
EventBridge,10K events/month,$0.00,1,$0.01,$0.12,Change tracking
Route53,Optional domain,$0.00,0,$0.00,$0.00,Optional
SSL Certificate,ACM certificate,$0.00,1,$0.00,$0.00,Free with Amplify
AMPLIFY + LAMBDA TOTAL,,,,=$69.10,$829.20,

COMPARISON SUMMARY
Deployment Option,Monthly AWS Cost,Annual AWS Cost,Maintenance Hours/Month,Maintenance Cost/Month,Total Monthly Cost,Total Annual Cost
EC2 Internal,$84.18,$1,010.16,6.5,$325.00,$409.18,$4,910.16
EC2 + ALB,$99.88,$1,198.56,6.5,$325.00,$424.88,$5,098.56
ECS Fargate,$100.28,$1,203.36,1.5,$75.00,$175.28,$2,103.36
Amplify + Lambda,$69.10,$829.20,0.75,$37.50,$106.60,$1,279.20

COST OPTIMIZATION OPTIONS
Solution,Optimization,Current Monthly,Optimized Monthly,Monthly Savings,Annual Savings
EC2 Internal,Reserved Instance (1-year),$84.18,$78.08,$6.10,$73.20
EC2 Internal,Reserved Instance (3-year),$84.18,$75.08,$9.10,$109.20
EC2 Internal,Consolidate Secrets (150→15),$84.18,$30.18,$54.00,$648.00
EC2 Internal,Use t3.micro instead,$84.18,$75.68,$8.50,$102.00
EC2 + ALB,Reserved Instance (1-year),$99.88,$93.78,$6.10,$73.20
EC2 + ALB,Consolidate Secrets,$99.88,$45.88,$54.00,$648.00
ECS Fargate,Use Fargate Spot (70% off),$100.28,$88.18,$12.10,$145.20
ECS Fargate,Business Hours Only,$100.28,$23.36,$76.92,$923.04
ECS Fargate,Consolidate Secrets,$100.28,$46.28,$54.00,$648.00
Amplify + Lambda,Consolidate Secrets,$69.10,$15.10,$54.00,$648.00

5-YEAR TOTAL COST OF OWNERSHIP
Solution,Year 1,Year 2,Year 3,Year 4,Year 5,5-Year Total,Average Monthly
EC2 Internal,$4,910.16,$4,910.16,$4,910.16,$4,910.16,$4,910.16,$24,550.80,$409.18
EC2 + ALB,$5,098.56,$5,098.56,$5,098.56,$5,098.56,$5,098.56,$25,492.80,$424.88
ECS Fargate,$2,103.36,$2,103.36,$2,103.36,$2,103.36,$2,103.36,$10,516.80,$175.28
Amplify + Lambda,$1,279.20,$1,279.20,$1,279.20,$1,279.20,$1,279.20,$6,396.00,$106.60

SAVINGS ANALYSIS (vs EC2 Internal)
Solution,Monthly Savings,Annual Savings,5-Year Savings,Percentage Savings
EC2 + ALB,-$15.70,-$188.40,-$942.00,-4%
ECS Fargate,$233.90,$2,806.80,$14,034.00,57%
Amplify + Lambda,$302.58,$3,630.96,$18,154.80,74%
